relationships,age_last_milestone_year,milestones,Top500,age,relation10,age_first_milestone_year,Has_roundABCD,funding_rounds,has_roundB,milesto_4,million
1,0.0,0,1,9.0,0,0.0,0,1,0,0,0.0
8,0.0,0,1,10.34,0,0.0,0,6,1,0,0.0
9,6.1123,4,1,6.17,0,2.8356,0,2,0,0,1.0
2,0.0,0,0,9.32,0,0.0,0,1,0,0,0.0
7,0.0,0,1,11.25,0,0.0,0,2,0,0,0.0
18,1.9151,1,1,8.91,1,1.9151,0,1,0,1,0.0
25,0.0,0,1,14.0,1,0.0,0,2,0,0,1.0
10,6.9178,3,0,7.63,0,2.0,0,2,0,1,0.0
1,2.0027,1,1,8.85,0,2.0027,0,1,0,1,0.0
12,5.6110000000000015,5,1,8.33,1,3.663,1,7,1,0,0.0
8,3.6685,3,1,5.33,0,2.3644,0,4,0,1,0.0
11,3.7836,2,1,4.0,1,3.2493,1,2,1,1,0.0
9,4.526,2,1,5.0,0,0.5808,0,1,0,1,0.0
5,0.0,0,1,8.0,0,0.0,1,4,1,0,0.0
5,9.2548,1,0,13.42,0,9.2548,0,1,0,1,0.0
19,4.0137,4,1,4.13,1,1.926,0,1,0,0,0.0
18,6.9973,4,1,7.58,1,2.0685,1,3,1,0,0.0
4,7.6877,4,0,7.91,0,4.5781,0,2,0,0,0.0
5,9.5315,2,1,11.0,0,0.4959,0,3,1,1,1.0
1,0.2986,1,0,1.33,0,0.2986,0,1,0,1,0.0
9,4.9699,4,1,4.91,0,0.5918,0,3,0,0,1.0
2,0.0,1,1,7.25,0,0.0,1,6,1,1,0.0
4,3.9918,3,1,2.42,0,0.8384,0,1,0,1,0.0
4,5.9479,4,1,6.0,0,1.0027,0,4,0,0,0.0
5,7.1726,1,1,11.0,0,7.1726,0,1,1,1,0.0
14,4.0027,2,1,6.0,1,2.7836,1,4,1,1,0.0
4,6.0027,1,1,13.0,0,6.0027,1,3,1,1,0.0
4,0.0,0,1,8.0,0,0.0,0,6,0,0,0.0
12,3.0274,3,0,4.87,1,0.8767,0,2,0,1,0.0
1,24.6849,1,0,28.39,0,24.6849,0,1,0,1,0.0
1,5.2849,3,1,1.03,0,0.7973,0,1,0,1,0.0
0,0.0,0,1,6.5,0,0.0,0,3,0,0,0.0
9,4.874,4,1,6.71,0,1.7562,1,3,1,0,0.0
0,0.0,0,1,16.52,0,0.0,0,1,1,0,0.0
0,0.0,0,0,6.1,0,0.0,0,2,0,0,0.0
3,1.3096,2,1,4.41,0,1.0027,0,1,0,1,0.0
2,1.0,1,1,5.1,0,1.0,0,2,1,1,0.0
8,3.4301,3,1,4.47,0,2.3014,0,5,0,1,0.0
4,6.6959,2,1,9.64,0,3.6466,1,4,1,1,0.0
2,8.0055,1,1,12.0,0,8.0055,0,2,0,1,0.0
4,13.5562,5,1,13.83,0,5.674,0,2,1,0,0.0
5,0.5863,1,0,2.58,0,0.5863,0,2,0,1,0.0
14,5.589,2,1,6.33,1,2.7507,1,5,1,1,0.0
5,5.2521,1,1,11.0,0,5.2521,0,3,1,1,0.0
5,8.3973,4,1,8.5,0,2.5041,0,1,1,0,0.0
3,0.0,0,1,11.0,0,0.0,0,2,1,0,0.0
2,0.0,0,1,8.71,0,0.0,1,2,1,0,0.0
4,12.7233,3,0,13.67,0,8.9808,0,3,0,1,0.0
14,3.8137,4,1,7.37,1,2.0,1,2,1,0,0.0
6,12.5096,5,1,14.0,0,2.0027,1,2,1,0,0.0
0,0.0,0,1,5.0,0,0.0,0,2,0,0,0.0
18,6.8849,3,1,6.96,1,6.0438,1,6,1,1,0.0
2,3.0027,1,1,11.01,0,3.0027,0,1,0,1,0.0
13,7.6932,5,1,9.33,1,3.8329,0,4,0,0,1.0
15,7.3863,2,1,10.0,1,5.0959,0,1,0,1,0.0
17,3.337,4,1,6.91,1,1.0877,0,3,0,0,1.0
5,2.3726,4,1,4.67,0,0.5808,0,1,0,0,0.0
3,11.4219,2,0,14.0,0,7.0055,1,3,1,1,0.0
19,7.8959,3,1,11.0,1,3.8356,0,1,0,1,0.0
19,3.0,1,1,5.0,1,3.0,1,3,1,1,0.0
2,0.0384,1,1,2.17,0,0.0384,0,2,0,1,0.0
2,6.2247,2,1,10.0,0,3.6685,1,2,1,1,0.0
11,3.0685,2,1,2.83,1,1.5836,1,2,1,1,0.0
6,2.9507,2,1,6.62,0,0.4685,0,2,0,1,0.0
3,8.7342,2,1,10.72,0,5.7233,1,2,1,1,0.0
9,2.0027,1,1,7.0,0,2.0027,1,2,1,1,0.0
8,5.5014,1,1,9.73,0,5.5014,1,5,1,1,0.0
14,4.8822,2,1,8.0,1,0.5808,1,3,1,1,0.0
